"Effective February 1, 2025",,
,,
,Part ID,LIST PRICE
,990772,$236.00 
,990773,$532.00 
,ACD12,$918.00 
,ACD16,"$1,119.00 "
,ACD20,"$1,193.00 "
,ACD24,"$1,285.00 "
,ACD30,"$1,755.00 "
,ACD36,"$1,993.00 "
,ACD42,"$2,028.00 "
,ACD48,"$2,542.00 "
,ACF48SL3D,"$1,396.00 "
,ACF48WHSL3D,"$2,132.00 "
,ACL18,$793.00 
,ACL18-F,$797.00 
,ACL24,"$1,015.00 "
,ACL24-F,"$1,029.00 "
,ACL30,"$1,325.00 "
,ACL30-F,"$1,344.00 "
,ACL36,"$1,517.00 "
,ACL36-F,"$1,540.00 "
,ACL48,"$2,390.00 "
,ACL48-F,"$2,434.00 "
,ACOP-V100,$14.00 
,ACOP-V125,$16.00 
,ACOP-V150,$19.00 
,ACOP-V200,$23.00 
,ACOP-V250,$28.00 
,ACOP-V315,$33.00 
,ADL10X4,$118.00 
,ADL12X12,$175.00 
,ADL16X16,$225.00 
,ADL16X8,$148.00 
,ADL20X10,$195.00 
,ADL20X20,$312.00 
,ADL24X12,$235.00 
,ADL24X24,$407.00 
,AFL18,$283.00 
,AFL24,$412.00 
,AFL30,$548.00 
,AFL36,$684.00 
,AFL48,"$1,067.00 "
,AMD12,$712.00 
,AMD16,$798.00 
,AMD20,$849.00 
,AMD24,$938.00 
,AMD30,"$1,438.00 "
,AMD36,"$1,643.00 "
,AMD42,"$1,921.00 "
,AMD48,"$2,081.00 "
,ARE12MH1AS,"$1,280.00 "
,ARE12MH1CS,"$1,280.00 "
,ARE12MM1AS,"$1,255.00 "
,ARE12MM1CS,"$1,255.00 "
,ARE16MM1AS,"$1,460.00 "
,ARE16MM1CS,"$1,460.00 "
,ARE16PH1AS,"$1,512.00 "
,ARE16PH1CS,"$1,512.00 "
,ARE20MM1AS,"$1,911.00 "
,ARE20MM1CS,"$1,911.00 "
,ARS12MH1AS,"$1,280.00 "
,ARS12MH1CS,"$1,280.00 "
,ARS12MM1AS,"$1,255.00 "
,ARS12MM1CS,"$1,255.00 "
,ARS16MM1AS,"$1,460.00 "
,ARS16MM1CS,"$1,460.00 "
,ARS16PH1AS,"$1,512.00 "
,ARS16PH1CS,"$1,512.00 "
,ARS20MM1AS,"$1,911.00 "
,ARS20MM1CS,"$1,911.00 "
,BD10,$71.00 
,BD12,$75.00 
,BD6,$40.00 
,BD8,$49.00 
,BOC100,$42.00 
,BOC125,$46.00 
,BOC150,$59.00 
,BOC200,$82.00 
,BOR-100,$37.00 
,BOR-125,$39.00 
,BOR-150,$42.00 
,BOR-200,$48.00 
,CAR100,$12.00 
,CAR125,$15.00 
,CAR150,$16.00 
,CAR175,$17.00 
,CAR200,$18.00 
,CAR250,$24.00 
,CAR315,$32.00 
,CAR355,$43.00 
,CAR400,$52.00 
,CCA1816,$167.00 
,CCA2024,$175.00 
,CM10MH1RS,"$2,917.00 "
